Recensement agricole 2020; ; 
Référentiel géographique : France  par Commune 2020; ; 
Code;Libellé;SAU moyenne en 2020;SAU moyenne en 2020 - estimation (*=oui)
02080;Besny-et-Loizy;267.6;
02081;Béthancourt-en-Vaux;54.9;
02082;Beugneux;266.2;
02083;Beuvardes;68;
02084;Bézu-le-Guéry;42.1;
02085;Bézu-Saint-Germain;136.4;
02086;Bichancourt;51.9;
02087;Bieuxy;209.3;
02088;Bièvres;N/A - division par 0;
02089;Billy-sur-Aisne;5.4;
02090;Billy-sur-Ourcq;137.4;
02091;Blanzy-lès-Fismes;150;
02093;Blérancourt;142.4;
02094;Blesmes;93.4;
02095;Bohain-en-Vermandois;114.4;
02096;Bois-lès-Pargny;160.9;
02097;Boncourt;214.9;
02098;Bonneil;16.6;
02099;Bonnesvalyn;202.3;
02100;Bony;235.6;
02101;Bosmont-sur-Serre;188.4;
02102;Bouconville-Vauclair;144.1;
02103;Boué;52.5;
02104;Bouffignereux;99.5;
02105;Bouresches;153.5;
02106;Bourg-et-Comin;2.9;
02107;Bourguignon-sous-Coucy;107.7;
02108;Bourguignon-sous-Montbavin;N/A - division par 0;
02109;La Bouteille;71.6;
02110;Braine;82.7;
02111;Brancourt-en-Laonnois;N/A - division par 0;
02112;Brancourt-le-Grand;82.3;
02114;Brasles;15;
02115;Braye-en-Laonnois;304.4;
02116;Braye-en-Thiérache;126.7;
02117;Bray-Saint-Christophe;N/A - division par 0;
02118;Braye;18;
02119;Brécy;153.9;
02120;Brenelle;183.2;
02121;Breny;44.9;
02122;Brie;273.3;
02123;Brissay-Choigny;343.5;
02124;Brissy-Hamégicourt;104.7;
02125;Brumetz;144.5;
02126;Brunehamel;59;
02127;Bruyères-sur-Fère;224.6;
02128;Bruyères-et-Montbérault;127.9;
02129;Bruys;388.6;
02130;Bucilly;90.4;
02131;Bucy-le-Long;96.7;
02132;Bucy-lès-Cerny;253.6;
02133;Bucy-lès-Pierrepont;209.3;
02134;Buire;42.4;
02135;Buironfosse;48.1;
02136;Burelles;125.1;
02137;Bussiares;270.2;
02138;Buzancy;279.6;
02139;Caillouël-Crépigny;81;
02140;Camelin;93.2;
02141;La Capelle;55;
02142;Castres;8.5;
02143;Le Catelet;N/A - division par 0;
02144;Caulaincourt;492.1;
02145;Caumont;49.9;
02146;Celles-lès-Condé;24;
02148;Celles-sur-Aisne;128.1;
02149;Cerizy;245.1;
02150;Cerny-en-Laonnois;160.4;
02151;Cerny-lès-Bucy;N/A - division par 0;
02152;Cerseuil;183.4;
02153;Cessières-Suzy;83.1;
02154;Chacrise;161.6;
02155;Chaillevois;N/A - division par 0;
02156;Chalandry;180.5;
02157;Chambry;160.9;
02158;Chamouille;109;
02159;Champs;120.6;
02160;Chaourse;135.8;
02162;La Chapelle-sur-Chézy;137.7;
02163;Charly-sur-Marne;14.5;
02164;Le Charmel;91.4;
02165;Charmes;61.7;
02166;Chartèves;105.4;
02167;Chassemy;140.1;
02168;Château-Thierry;46.8;
02169;Châtillon-lès-Sons;140.8;
02170;Châtillon-sur-Oise;129.1;
02171;Chaudardes;94.4;
02172;Chaudun;237;
02173;Chauny;99.2;
02174;Chavignon;96.6;
02175;Chavigny;58.9;
02176;Chavonne;127.4;
02177;Chérêt;78.1;
02178;Chermizy-Ailles;56.4;
02179;Chéry-Chartreuve;92.9;
02180;Chéry-lès-Pouilly;199.2;
02181;Chéry-lès-Rozoy;18.8;
02182;Chevennes;210.8;
02183;Chevregny;109.3;
02184;Chevresis-Monceau;214.6;
02185;Chézy-en-Orxois;150.3;
02186;Chézy-sur-Marne;37.9;
02187;Chierry;94.3;
02188;Chigny;6.8;*
02189;Chivres-en-Laonnois;84.3;
02190;Chivres-Val;N/A - division par 0;
02191;Chivy-lès-Étouvelles;4;
02192;Chouy;177.2;
02193;Cierges;95.7;
02194;Cilly;255.9;
02195;Ciry-Salsogne;48.6;
02196;Clacy-et-Thierret;188.2;
02197;Clairfontaine;103.2;
02198;Clamecy;240.8;
02199;Clastres;100.9;
02200;Clermont-les-Fermes;186.1;
02201;Cœuvres-et-Valsery;178.7;
02203;Coincy;184.8;
02204;Coingt;71.3;
02205;Colligis-Crandelain;10.9;
02206;Colonfay;81.6;
02207;Commenchon;3.2;
02208;Concevreux;165.1;
02209;Condé-en-Brie;84.6;
02210;Condé-sur-Aisne;226;
02211;Condé-sur-Suippe;103.1;
02212;Condren;90;
02213;Connigis;31.2;
02214;Contescourt;297.5;
02215;Corbeny;106.3;
02216;Corcy;133.2;
02217;Coucy-le-Château-Auffrique;32.7;
02218;Coucy-lès-Eppes;173.2;
02219;Coucy-la-Ville;172.9;
02220;Coulonges-Cohan;258.1;
02221;Coupru;188.8;
02222;Courbes;237.3;
02223;Courboin;152.4;
02224;Courcelles-sur-Vesle;290.7;
02225;Courchamps;112.6;
02226;Courmelles;49.1;
02227;Courmont;111.3;
02228;Courtemont-Varennes;26.4;*
02229;Courtrizy-et-Fussigny;N/A - division par 0;
02230;Couvrelles;194;
02231;Couvron-et-Aumencourt;272.3;
02232;Coyolles;124.2;
02233;Cramaille;121.8;
02234;Craonne;99.9;
02235;Craonnelle;123.4;
02236;Crécy-au-Mont;356.5;
02237;Crécy-sur-Serre;127.4;
02238;Crépy;179.2;
02239;Crézancy;58.2;
02240;Croix-Fonsomme;209.5;
02241;La Croix-sur-Ourcq;181.4;
02242;Crouttes-sur-Marne;8;
02243;Crouy;116.5;
02244;Crupilly;190.9;
02245;Cuffies;232.3;
02246;Cugny;137.8;
02248;Cuirieux;215;
02249;Cuiry-Housse;272.3;
02250;Cuiry-lès-Chaudardes;73;
02251;Cuiry-lès-Iviers;58.7;
02252;Cuissy-et-Geny;197.9;
02253;Cuisy-en-Almont;166.3;
02254;Cutry;323.1;
02255;Cys-la-Commune;88.2;
02256;Dagny-Lambercy;142.8;
02257;Dallon;154.9;
02258;Dammard;271;
02259;Dampleux;305.1;
02260;Danizy;189;
02261;Dercy;146.8;*
02262;Deuillet;154.9;
02263;Dhuizel;196.8;
02264;Dizy-le-Gros;138.6;
02265;Dohis;38.9;
02266;Dolignon;149.3;
02267;Dommiers;203.6;
02268;Domptin;6;
02269;Dorengt;98.5;
02270;Douchy;115.6;
02271;Dravegny;197.1;
02272;Droizy;226.8;
02273;Dury;229.2;
02274;Ébouleau;186.1;
02275;Effry;59.6;
02276;Englancourt;106.4;
02277;Épagny;278.9;
02278;Éparcy;102.4;
02279;Épaux-Bézu;148.8;
02280;Épieds;137.5;
02281;L'Épine-aux-Bois;51.7;
02282;Eppes;145.8;
02283;Erlon;214;
02284;Erloy;129;
02286;Esquéhéries;86.4;
02287;Essigny-le-Grand;126.3;
02288;Essigny-le-Petit;199;
02289;Essises;357.6;
02290;Essômes-sur-Marne;14.7;
02291;Estrées;115.7;
02292;Étampes-sur-Marne;N/A - division par 0;
02293;Étaves-et-Bocquiaux;159.9;
02294;Étouvelles;148.5;
